Perturbagen,Perturbation Type,Dose,Tissue,Cell Line,Disease,Timepoint,Data Level,Creation Time,z-score (up),z-score (down),log p-val (Fisher),log p-val (avg),p-value (up),z-score (sum),p-value (down),FDR (up),FDR (down),p-value Bonferroni (up),p-value Bonferroni (down)
BRD-K39422601,Chemical,4 uM,intestine,HT29,colon adenocarcinoma,24 h,5,5/8/2021,-3.605307291,-1.488877076,10.06425049,2.682151052,0.000311857,-5.094184367,0.136519802,0.019098301,0.437882372,1,1
BRD-K80028364,Chemical,0.37 uM,kidney,HA1E,,24 h,5,5/19/2021,-1.041548141,-4.409881282,12.69033574,1.905045924,0.297621265,-5.451429424,1.04E-05,0.609691451,0.003753927,1,1
acifran,Chemical,0.04 uM,kidney,HEK293,,24 h,5,5/21/2021,-2.91855302,-2.524210669,10.10732743,4.885372553,0.003516736,-5.442763689,0.01159588,0.067743581,0.133709311,1,1
tolnaftate,Chemical,2.22 uM,kidney,HEK293,,24 h,5,5/22/2021,-1.097756738,-4.240109247,12.00923287,1.99387628,0.272310807,-5.337865985,2.24E-05,0.585226541,0.005426891,1,1
BRD-A19078268,Chemical,10 uM,kidney,HA1E,,24 h,5,5/18/2021,-2.288109099,-2.986159139,9.679949397,4.383776181,0.022131106,-5.274268238,0.002825194,0.17323861,0.066062807,1,1
veliparib,Chemical,0.37 uM,kidney,HA1E,,24 h,5,5/18/2021,-3.013326168,-2.24712846,9.662078596,4.297101551,0.002584149,-5.260454627,0.024631739,0.057739084,0.193419265,1,1
fusidic-acid,Chemical,0.25 uM,kidney,HA1E,,24 h,5,5/21/2021,-3.313743003,-1.914621122,9.88104176,3.567345611,0.000920676,-5.228364125,0.055540703,0.033526569,0.287453364,1,1
nicergoline,Chemical,0.01 uM,kidney,HA1E,,24 h,5,5/22/2021,-4.554015599,-0.543261825,12.68661658,1.225954722,5.27E-06,-5.097277425,0.586949486,0.002114555,0.824806331,1,1
ibrutinib,Chemical,1.11 uM,liver,HEPG2,carcinoma,24 h,5,5/18/2021,-2.302110372,-3.344815323,10.94965842,4.50295769,0.021328892,-5.646925694,0.000823485,0.170155067,0.035650762,1,1
BRD-K53874318,Chemical,2.5 uM,liver,HEPG2,carcinoma,24 h,5,5/8/2021,-2.366011528,-3.267758756,10.8454085,4.653048088,0.017980855,-5.633770284,0.001084148,0.156078033,0.040902472,1,1
cyclohexylamine.hcl,Chemical,0.25 uM,liver,HEPG2,carcinoma,24 h,5,5/27/2021,-1.764323127,-3.429386425,9.965394986,3.240577795,0.077677499,-5.193709552,0.000605046,0.323714854,0.030392209,1,1
tandutinib,Chemical,0.08 uM,liver,MKN45,gastric adenocarcinoma,24 h,5,5/7/2021,-3.185513327,-1.996868365,9.62218638,3.744720998,0.001445104,-5.182381692,0.045839345,0.04271278,0.261759186,1,1
RAF-265,Chemical,3.33 uM,liver,HEPG2,carcinoma,24 h,5,5/18/2021,-4.118388802,-0.98496883,11.29838778,1.818069906,3.82E-05,-5.103357631,0.324639381,0.006140185,0.645196724,1,1
BRD-K26373640,Chemical,10 uM,lung,NL20,,24 h,5,5/6/2021,-1.25580017,-4.421174804,13.09512168,2.257619444,0.209188561,-5.676974974,9.82E-06,0.519171905,0.003655303,1,1
forskolin,Chemical,10 uM,lung,A549,lung cancer,24 h,5,5/21/2021,-0.985604104,-4.401715198,12.56673534,1.819115747,0.324327423,-5.387319301,1.07E-05,0.634099061,0.00382084,1,1
BRD-K21137917,Chemical,0.37 uM,lung,A549,lung cancer,24 h,5,5/20/2021,-1.814019504,-3.529572992,10.44798728,3.351109117,0.069674611,-5.343592496,0.000416315,0.306905516,0.025099632,1,1
BRD-K30958640,Chemical,10 uM,lung,A549,lung cancer,6 h,5,5/12/2021,-3.241152104,-2.0992702,10.06330158,3.990428898,0.0011906,-5.340422304,0.035792962,0.038477839,0.232353481,1,1
daunorubicin,Chemical,10 uM,lung,A549,lung cancer,48 h,5,5/19/2021,-1.100768639,-4.232572993,11.98052745,1.998707761,0.270997445,-5.333341633,2.31E-05,0.583936714,0.005518374,1,1
AT-CSC-18,Chemical,10 uM,lung,NCIH1836,lung cancer,6 h,5,5/8/2021,-2.294743423,-3.030117,9.842065128,4.414859747,0.021747773,-5.324860423,0.002444729,0.171815036,0.061439505,1,1
BRD-K53674232,Chemical,4 uM,lung,A549,lung cancer,24 h,5,5/11/2021,-2.258865163,-3.045754183,9.799932626,4.334654169,0.023891699,-5.304619346,0.002321113,0.180025748,0.059785024,1,1
BRD-K02251932,Chemical,0.04 uM,lung,A549,lung cancer,24 h,5,5/19/2021,-2.576193419,-2.720370451,9.638947114,4.796904745,0.009989534,-5.29656387,0.006520985,0.115813658,0.100511446,1,1
BRD-K19826688,Chemical,0.37 uM,lung,A549,lung cancer,24 h,5,5/19/2021,-3.494355347,-1.796147737,10.27613964,3.311180061,0.000475297,-5.290503084,0.072470918,0.023838075,0.326135029,1,1
nepafenac,Chemical,10 uM,lung,NCIH838,lung cancer,24 h,5,5/17/2021,-1.484521537,-3.783481763,10.75691155,2.674914954,0.137670677,-5.2680033,0.0001547,0.425835336,0.014955982,1,1
oxibendazole,Chemical,10 uM,lung,A549,lung cancer,6 h,5,5/15/2021,-2.55311574,-2.679127379,9.448489983,4.707315045,0.010676451,-5.23224312,0.007381524,0.119804334,0.106891862,1,1
YS-035,Chemical,1.11 uM,lung,BEN,lung cancer,24 h,5,5/17/2021,-3.070084232,-2.139297047,9.576134604,4.058447914,0.002140121,-5.209381279,0.032411502,0.052365736,0.221102425,1,1
vemurafenib,Chemical,1.11 uM,lung,A549,lung cancer,24 h,5,5/17/2021,-3.955583309,-1.212576727,10.97012996,2.183166958,7.64E-05,-5.168160035,0.225291817,0.008944236,0.549370103,1,1
BRD-K29423519,Chemical,20 uM,lung,HCC515,lung cancer,24 h,5,5/8/2021,-3.27865842,-1.8879076,9.695092459,3.505202786,0.001043137,-5.166566019,0.059038224,0.035742156,0.295988746,1,1
crizotinib,Chemical,10 uM,lymphoid system,HBL1,lymphoma,4 h,5,5/7/2021,-2.70664132,-2.816191639,10.31805381,5.145025178,0.006796865,-5.522832959,0.00485979,0.09503871,0.086708826,1,1
SCH-900776,Chemical,1.11 uM,muscle organ,A204,rhabdomyosarcoma,24 h,5,5/17/2021,-3.606263773,-1.797581145,10.70436379,3.316571171,0.000310711,-5.403844918,0.072243302,0.019052725,0.325653598,1,1
moxifloxacin,Chemical,0.08 uM,pancreas,YAPC,pancreatic carcinoma,24 h,5,5/22/2021,-3.017966124,-2.285895645,9.778609671,4.389848653,0.002544912,-5.303861769,0.0222603,0.057270488,0.184155213,1,1
efaproxiral,Chemical,0.01 uM,pancreas,YAPC,pancreatic carcinoma,24 h,5,5/22/2021,-0.814027465,-4.339557392,12.03406903,1.571074822,0.415629094,-5.153584857,1.43E-05,0.706913045,0.004317709,1,1
BRD-K81873565,Chemical,4 uM,prostate gland,VCAP,prostate adenocarcinoma,24 h,5,5/11/2021,-1.831724601,-4.626695179,15.20511546,3.396268603,0.066992344,-6.45841978,3.72E-06,0.301072672,0.002116291,1,1
BRD-K51365808,Chemical,10 uM,prostate gland,PC3,prostate adenocarcinoma,24 h,5,5/9/2021,-3.903648356,-2.33854083,13.20842075,4.632851795,9.48E-05,-6.242189186,0.019359169,0.00998906,0.171901022,1,1
BRD-K75725000,Chemical,4 uM,prostate gland,VCAP,prostate adenocarcinoma,24 h,5,5/10/2021,-4.616044492,-1.36180324,14.2035649,2.446085894,3.92E-06,-5.977847732,0.173260106,0.001827986,0.48821086,1,1
BRD-K31096204,Chemical,4 uM,prostate gland,VCAP,prostate adenocarcinoma,6 h,5,5/10/2021,-4.136297406,-1.776861877,12.83360407,3.275099867,3.53E-05,-5.913159283,0.07559087,0.005913905,0.332763601,1,1
swainsonine,Chemical,0.01 uM,prostate gland,PC3,prostate adenocarcinoma,24 h,5,5/21/2021,-4.707113815,-1.053924466,14.1243537,1.924422438,2.52E-06,-5.761038281,0.291917552,0.001435924,0.616135099,1,1
ML-281,Chemical,0.37 uM,prostate gland,PC3,prostate adenocarcinoma,24 h,5,5/20/2021,-2.179985901,-3.568101276,11.46195024,4.212518187,0.029258403,-5.748087177,0.000359656,0.199596632,0.023226278,1,1
ZK-200775,Chemical,0.74 uM,prostate gland,PC3,prostate adenocarcinoma,24 h,5,5/22/2021,-4.357000602,-1.301556646,12.88031959,2.337791045,1.32E-05,-5.658557248,0.193068118,0.003515901,0.512830716,1,1
itraconazole,Chemical,0.125 uM,prostate gland,PC3,prostate adenocarcinoma,24 h,5,5/19/2021,-3.773872028,-1.739419509,11.23695518,3.192700138,0.000160785,-5.513291537,0.081960917,0.013220254,0.345402531,1,1
LY-2183240,Chemical,0.37 uM,prostate gland,PC3,prostate adenocarcinoma,24 h,5,5/20/2021,-0.900314376,-4.539061795,13.08260088,1.692932133,0.367952905,-5.439376171,5.66E-06,0.670210602,0.002713233,1,1
malotilate,Chemical,2.22 uM,prostate gland,PC3,prostate adenocarcinoma,24 h,5,5/23/2021,-3.587337634,-1.817779174,10.67616031,3.360555683,0.000334148,-5.405116809,0.069097777,0.019808172,0.319063725,1,1
tebipenem,Chemical,10 uM,prostate gland,PC3,prostate adenocarcinoma,24 h,5,5/21/2021,-5.091517934,-0.269632828,15.08780088,0.932111199,3.56E-07,-5.361150762,0.787442859,0.000549461,0.921952936,0.255499466,1
BRD-K63662683,Chemical,10 uM,prostate gland,PC3,prostate adenocarcinoma,6 h,5,5/10/2021,-2.570271369,-2.75548896,9.728615554,4.826908181,0.010161945,-5.325760329,0.00586056,0.116863421,0.095175808,1,1
BRD-K75745425,Chemical,4 uM,prostate gland,VCAP,prostate adenocarcinoma,24 h,5,5/10/2021,-3.769883293,-1.506208288,10.74430445,2.716759467,0.000163376,-5.276091581,0.132013764,0.013320434,0.431105234,1,1
BRD-K97350634,Chemical,10 uM,prostate gland,PC3,prostate adenocarcinoma,24 h,5,5/17/2021,-4.082856503,-1.146748527,11.40018766,2.07333947,4.45E-05,-5.229605029,0.251485673,0.006653941,0.576999169,1,1
BRD-K68783079,Chemical,10 uM,prostate gland,PC3,prostate adenocarcinoma,24 h,5,5/10/2021,-3.446225973,-1.768630637,10.03691271,3.250314753,0.000568571,-5.21485661,0.07695544,0.026122594,0.335557326,1,1
CT-7758,Chemical,10 uM,prostate gland,PC3,prostate adenocarcinoma,24 h,5,5/22/2021,-1.953971176,-3.185989316,9.522959786,3.646831678,0.050704486,-5.139960492,0.001442729,0.26249142,0.047091074,1,1
pentamidine,Chemical,3.33 uM,skin of body,A375,melanoma,24 h,5,5/21/2021,-2.515283814,-3.046861817,10.50113925,4.947218846,0.011893695,-5.562145631,0.002312578,0.126577745,0.059700096,1,1
triclabendazole,Chemical,3.33 uM,skin of body,A375,melanoma,24 h,5,5/17/2021,-1.564560787,-3.984745349,11.74188465,2.832308752,0.117685946,-5.549306136,6.76E-05,0.395093564,0.009750564,1,1
eptifibatide,Chemical,1.11 uM,skin of body,SH4,melanoma,24 h,5,5/17/2021,-1.489934819,-3.907884247,11.27467458,2.685790439,0.136241436,-5.397819067,9.31E-05,0.423807879,0.011545669,1,1
midostaurin,Chemical,0.01 uM,skin of body,A375,melanoma,24 h,5,5/21/2021,-2.613679384,-2.742349382,9.814703214,4.889017756,0.008957377,-5.356028766,0.006100251,0.109415647,0.097100796,1,1
KU-60019,Chemical,0.37 uM,umbilical cord,HUVEC,,24 h,5,5/18/2021,-4.154002503,-1.163623654,11.7366641,2.10123996,3.27E-05,-5.317626157,0.244576673,0.005649411,0.569878647,1,1
ozagrel,Chemical,2.22 uM,uterine cervix,HELA,cervical adenocarcinoma,24 h,5,5/22/2021,-3.780201091,-2.128807103,12.16393667,4.091542796,0.000156753,-5.909008194,0.033270104,0.013044052,0.22399734,1,1
bendamustine,Chemical,1.11 uM,uterine cervix,HELA,cervical adenocarcinoma,24 h,5,5/20/2021,-3.239808959,-2.539934726,11.23053636,5.092638784,0.001196222,-5.779743684,0.011087361,0.038563046,0.130751615,1,1
yohimbine,Chemical,0.37 uM,uterine cervix,HELA,cervical adenocarcinoma,24 h,5,5/20/2021,-2.947043981,-2.388775283,9.822147347,4.599534492,0.003208413,-5.335819264,0.01690462,0.06463044,0.160852956,1,1
palonosetron,Chemical,0.03 uM,uterine cervix,HELA,cervical adenocarcinoma,24 h,5,5/21/2021,-4.054223087,-1.044433565,11.11340854,1.909411171,5.03E-05,-5.098656651,0.296284886,0.007115508,0.619953562,1,1
