SYMBOL	adj.P.Val	P.Value	logFC
Sfrp1	0.0166	0.00002065	-2.42476
Mmp3	0.0373	0.00085977	-2.417138
Pmm2	0.0251	0.00023807	-2.410033
Tyrobp	0.0183	0.00007333	-2.403874
Rps6ka1	0.0251	0.00024124	-2.402377
4933408F15	0.0489	0.00199648	-2.394878
D5Ertd135e	0.0338	0.00061442	-2.391931
Tpmt	0.0621	0.00420719	-2.390091
Tk1	0.0207	0.0001259	-2.38741
Cyp4f18	0.0394	0.00107895	-2.378767
Btk	0.0183	0.00007196	-2.376065
Xlr4a	0.0515	0.0022554	-2.376
Wisp1	0.0178	0.00004935	-2.374225
Batf	0.1253	0.02383108	-2.373739
5630401D24Rik	0.085	0.00980945	-2.350842
Plcb2	0.0714	0.00642384	-2.341101
Adam12	0.1111	0.01832878	-2.337518
LOC234911	0.1719	0.04420705	-2.330256
Fbln1	0.0617	0.00405495	-2.329027
Cd14	0.0425	0.00128972	-2.328655
Ngfb	0.027	0.00034374	-2.327917
Ncf4	0.0477	0.00178667	-2.327669
Hmox1	0.1642	0.04049286	-2.324489
Lrg1	0.123	0.02272955	-2.31974
Cndp2	0.0621	0.00415451	-2.318263
C1qa	0.0228	0.0001644	-2.316822
Col12a1	0.0608	0.00380133	-2.313099
Mnt	0.0665	0.00520689	-2.31037
Chst1	0.0503	0.00214372	-2.30938
Irf4	0.0461	0.00164485	-2.308585
Sdc1	0.0625	0.00430338	-2.301736
Cryz	0.0166	0.00002727	-2.301441
Olfr536	0.1339	0.02744071	-2.300472
V1ra6	0.0871	0.01033813	-2.290984
Alox5	0.1299	0.02578768	-2.287025
Zfp395	0.0593	0.00358008	-2.280817
Fhl2	0.1028	0.01535271	-2.276577
Gcnt1	0.0499	0.00209719	-2.273768
Timp1	0.1167	0.02043205	-2.271532
1810046I24Rik	0.059	0.00353031	-2.268469
Cxcl12	0.0953	0.01278577	-2.253964
AU018778	0.0621	0.00423233	-2.252747
Tnfrsf22	0.0622	0.00426111	-2.251557
Ttyh3	0.0709	0.00631211	-2.240162
Timp1	0.1125	0.01881488	-2.239813
Arl4c	0.0849	0.00976939	-2.238951
Renbp	0.0166	0.00002968	-2.235943
Prg2	0.1382	0.02901218	-2.230195
BC021611	0.0665	0.00529836	-2.226743
Syngr1	0.0178	0.0000662	-2.22167
Acsm3	0.0738	0.00694208	-2.220817
Coq3	0.1469	0.03258037	-2.218777
Olfr703	0.0777	0.00788566	-2.216392
Dock9	0.1413	0.0303679	-2.209589
Sdc3	0.027	0.00034571	-2.206764
Ccl5	0.027	0.00034557	-2.20462
2010001M09Rik	0.1507	0.03445116	-2.190844
BC013712	0.0542	0.00265276	-2.184994
Ptpro	0.0207	0.00012943	-2.180744
BC046404	0.1299	0.02572839	-2.17407
Cyp4b1	0.0285	0.00039123	-2.167503
Aqp7	0.0563	0.00300185	-2.162741
Unc93b1	0.0183	0.00007565	-2.161393
Cd53	0.0959	0.01304442	-2.152196
BC032204	0.0411	0.00118807	-2.146795
Coro1a	0.0561	0.00291847	-2.137718
E230026N22Rik	0.1125	0.01887908	-2.135308
Slc2a6	0.0557	0.00288399	-2.134729
Hook3	0.0172	0.00003659	-2.134297
Bmper	0.1331	0.02707374	-2.128598
Ccbl2	0.0446	0.00149055	-2.1275
C1qr1	0.0697	0.00606045	-2.126266
Kcnk13	0.0515	0.00227593	-2.124505
Tram2	0.1171	0.02054201	-2.123023
Pbk	0.0166	0.00001141	-2.122939
Cd33	0.0207	0.00010554	-2.117412
Fthfd	0.0626	0.00434049	-2.116443
Magi1	0.0985	0.01381683	-2.108274
Rapsn	0.0707	0.0062692	-2.107265
Cyp7b1	0.0738	0.00694867	-2.100355
Nup98	0.1601	0.03865959	-2.099277
Cidec	0.0541	0.00259855	-2.0991
Emcn	0.0425	0.00130442	-2.09864
Fcer1a	0.1229	0.02267955	-2.093677
Laptm5	0.0166	0.000032	-2.091887
C230078M08Rik	0.0911	0.01144062	-2.084214
Ngfb	0.0251	0.00024054	-2.083974
2310046K10Rik	0.0642	0.00456899	-2.082243
Mdh1	0.057	0.00318207	-2.079145
Acaa2	0.0542	0.00271172	-2.077545
Ccnd1	0.0166	0.00002461	-2.07737
Cdh5	0.0868	0.01025432	-2.069714
Mmp13	0.1378	0.0288585	-2.067347
Chst11	0.1697	0.04312631	-2.065042
Plscr1	0.0629	0.00439975	-2.064334
Blm	0.0877	0.01049978	-2.061908
Wisp2	0.0406	0.00116539	-2.061887
Apobec1	0.0178	0.00004916	-2.060174
Rragd	0.0707	0.00626448	-2.060019
Cox6a2	0.0831	0.00935506	-2.058663
Acaa2	0.0477	0.0017723	-2.056922
2410030J07Rik	0.0207	0.00012332	-2.053702
3110004L20Rik	0.0966	0.01318369	-2.053576
AI256711	0.1525	0.03509754	-2.053337
D17H6S56E-5	0.0745	0.00715477	-2.048327
Zzz3	0.1822	0.04950072	-2.044597
Snx3	0.0849	0.00976138	-2.042018
Slco2a1	0.0187	0.00007966	-2.041887
Nek6	0.0803	0.00850758	-2.03703
Igsf4a	0.057	0.00314589	-2.030433
Scp2	0.0811	0.00887541	-2.030035
Acaa2	0.0432	0.00133395	-2.028805
Gm885	0.1795	0.04809777	-2.025351
Icam1	0.0183	0.00007373	-2.020839
Msc	0.043	0.00132084	-2.019972
Gdf15	0.0744	0.00712846	-2.019407
Mmp3	0.0353	0.00071583	-2.018447
Ly86	0.0178	0.00005576	-2.015106
Ptgds2	0.1745	0.04544669	-2.012441
Ccrl1	0.1589	0.03796646	-2.009627
Thsd1	0.0446	0.00148692	-1.998619
Htatip2	0.0178	0.0000459	-1.99594
Klrd1	0.1587	0.03775662	-1.993582
A930034L06Rik	0.0931	0.01207356	-1.992856
4933424A10Rik	0.1003	0.01456283	-1.992293
Slc11a1	0.0811	0.00882777	-1.990689
Alox5ap	0.0665	0.00524341	-1.989029
Cfd	0.057	0.00309163	-1.988835
Rab3il1	0.1024	0.0151038	-1.987708
Fetub	0.0697	0.00604091	-1.984682
Rnf125	0.0683	0.00571127	-1.979849
Icsbp1	0.0461	0.00163841	-1.977755
Slc27a2	0.0542	0.00261393	-1.977135
Tgif	0.0702	0.00611727	-1.976519
Gcnt2	0.0213	0.00014708	-1.971958
Etv5	0.0306	0.00047229	-1.970747
Kif2c	0.0727	0.00666458	-1.968484
Hnrpf	0.1719	0.04421213	-1.959992
Lgals9	0.0659	0.00505986	-1.956576
Igf1	0.0357	0.00076175	-1.954755
St8sia4	0.0207	0.00011883	-1.945767
Stab1	0.0267	0.00032443	-1.943275
2310015N21Rik	0.025	0.00021967	-1.94314
Sp1	0.1719	0.04417469	-1.940402
Mmp3	0.0251	0.00025038	-1.93747
Tuba8	0.0818	0.00904018	-1.936643
Cyp17a1	0.1425	0.03073331	-1.936593
Pltp	0.0583	0.00339812	-1.932748
Ivns1abp	0.0563	0.00299592	-1.928288
Pxmp2	0.0477	0.00179309	-1.9247
Aldh3b1	0.0207	0.0000963	-1.924558
Slc11a1	0.0619	0.00409964	-1.917332
Frrs1	0.0981	0.01364418	-1.917165
Pdgfb	0.0399	0.00111916	-1.915607
Cdk2	0.0803	0.00853195	-1.913248
St3gal4	0.0357	0.0007697	-1.912502
Car5b	0.0373	0.00086946	-1.911765
Pla2g6	0.0985	0.01385246	-1.910287
Mrc1	0.0621	0.00413213	-1.908691
Camk2d	0.1823	0.04973298	-1.908579
Vcam1	0.0311	0.00049685	-1.908108
1810009M01Rik	0.021	0.00014051	-1.904107
Phka2	0.1663	0.04143587	-1.904069
A530016L24Rik	0.1496	0.03387789	-1.902567
Ebi2	0.0383	0.00095621	-1.898177
Cdca2	0.0461	0.00163876	-1.895607
Ifit3	0.046	0.00161878	-1.894317
Ednrb	0.0436	0.00139484	-1.88422
Rai14	0.0166	0.00003154	-1.872085
Clra	0.0612	0.00394059	-1.871322
Centa2	0.0805	0.00860765	-1.868205
Ebf3	0.0729	0.0066963	-1.864106
Comp	0.0746	0.00717511	-1.861183
Plk2	0.0303	0.00046045	-1.853604
H2-Ab1	0.0595	0.00362491	-1.845267
Lipe	0.0455	0.00154087	-1.84115
Timeless	0.1028	0.01526445	-1.84106
Itgae	0.1064	0.01658323	-1.836836
Cotl1	0.057	0.00319928	-1.834885
Hoxd9	0.1236	0.02309641	-1.830047
Cxcl9	0.0976	0.01346552	-1.829235
Kctd12	0.1035	0.01565994	-1.825712
Slc27a1	0.027	0.0003326	-1.825571
Ednrb	0.0542	0.00265431	-1.824527
Cx3cl1	0.0574	0.00324317	-1.82115
Mppe1	0.0891	0.01092702	-1.820895
AI132321	0.0207	0.00012015	-1.819259
Stat2	0.0251	0.00025183	-1.805899
Fes	0.0477	0.001806	-1.805439
Pld3	0.0299	0.00044708	-1.803025
Abcb4	0.0352	0.00069495	-1.800219
Lrpprc	0.1028	0.01540905	-1.799762
Plin	0.1464	0.03228393	-1.797079
Tgm1	0.1466	0.03243968	-1.797014
Irf1	0.0863	0.01016147	-1.793986
Atp1b1	0.0288	0.00041651	-1.791356
Polydom	0.0251	0.00024589	-1.790979
Tmem8	0.0207	0.00010082	-1.790938
Amdhd2	0.096	0.01305827	-1.78831
6330416G13Rik	0.1135	0.01934517	-1.788158
Dhx9	0.0358	0.00078111	-1.787088
C4b	0.0621	0.00414142	-1.78455
Kcnj2	0.0829	0.00930625	-1.783547
1110025G12Rik	0.0821	0.00914931	-1.780919
Bcl2	0.0584	0.00344413	-1.778784
Ppgb	0.0793	0.00830022	-1.77575
Cd52	0.0394	0.00108709	-1.771073
Il7r	0.1074	0.01692589	-1.767935
Bid	0.0247	0.00020364	-1.766241
D030070L09Rik	0.0673	0.00553711	-1.766082
Was	0.037	0.00083419	-1.763761
Htatip2	0.0178	0.00006259	-1.763574
Arhgdib	0.0183	0.00007696	-1.763259
Tnc	0.0353	0.00073741	-1.761403
Hcst	0.0255	0.00029263	-1.759443
Tmpo	0.0549	0.00276639	-1.758698
Klhl6	0.0207	0.00011234	-1.75841
Pcx	0.0734	0.00683736	-1.756168
P2ry13	0.0357	0.00075598	-1.755811
6530401D17Rik	0.074	0.00697088	-1.752933
Arhgap22	0.0348	0.00067234	-1.75257
Art4	0.0373	0.00088389	-1.74871
Scarf1	0.0783	0.00802132	-1.746297
Mgst1	0.0339	0.00063827	-1.745791
Adfp	0.0207	0.00009461	-1.74477
Gadd45a	0.0764	0.0075876	-1.742861
2310061N23Rik	0.0655	0.00494991	-1.737053
Gng2	0.0353	0.00072462	-1.73598
P2rx4	0.0166	0.0000265	-1.732192
0610039P13Rik	0.0654	0.00489259	-1.727755
Mboat5	0.0669	0.00545355	-1.727719
Htr2b	0.0563	0.0029961	-1.72739
BC006779	0.1653	0.04094375	-1.726616
Ccl4	0.099	0.01413286	-1.72487
Tlr7	0.0251	0.00023251	-1.721588
Irf5	0.0566	0.00304631	-1.720944
Adh1	0.0683	0.00570216	-1.720473
Chpt1	0.0373	0.00086671	-1.715183
Tpm3	0.054	0.00258471	-1.711393
4930486L24Rik	0.0999	0.01439858	-1.710592
Elk3	0.0287	0.00040092	-1.707878
Eno1	0.0659	0.00505522	-1.706561
Fxyd6	0.0412	0.00119358	-1.706428
Rab13	0.1587	0.03767893	-1.702779
Cd28	0.148	0.03320228	-1.701689
Cp	0.0236	0.00019123	-1.700295
Pstpip1	0.0805	0.00866487	-1.695857
Pmm2	0.0665	0.00519285	-1.695547
Dpysl2	0.1278	0.02480983	-1.695423
Mmab	0.073	0.00675064	-1.694941
Mid1	0.1589	0.03789092	-1.694201
Ii	0.0792	0.00829071	-1.693196
Heph	0.0477	0.00179354	-1.691835
Ptpns1	0.0207	0.00010762	-1.691513
Snx2	0.1818	0.04931499	-1.689735
Slc1a3	0.1038	0.01573621	-1.687495
Crat	0.057	0.00311472	-1.686813
Sema6d	0.0588	0.00348895	-1.686773
Ivns1abp	0.0337	0.00060269	-1.686584
Mlkl	0.0394	0.00109316	-1.684689
Pld3	0.0394	0.00105653	-1.684151
Ptpns1	0.033	0.00056222	-1.681553
Fut8	0.0328	0.00054637	-1.679808
Fbln2	0.0337	0.00059453	-1.675341
Cd86	0.057	0.00312469	-1.67297
Pdhb	0.0373	0.00088605	-1.67291
Hcls1	0.0542	0.00271466	-1.672193
Myo1b	0.0791	0.00823031	-1.671867
Hcph	0.0668	0.0054234	-1.671642
BC013481	0.1113	0.01838072	-1.668763
Acdc	0.0767	0.00768313	-1.65894
Gja4	0.0436	0.00138597	-1.656991
1810015C04Rik	0.0703	0.00615065	-1.655293
Clstn3	0.1204	0.02176815	-1.654231
Fus	0.0433	0.00134294	-1.651867
Tcn2	0.0277	0.00037391	-1.649541
Sh3tc1	0.0353	0.00070829	-1.646009
Ifnar2	0.1626	0.0398127	-1.645675
Thrsp	0.1308	0.02620273	-1.64437
Ankrd38	0.1171	0.02056724	-1.640468
Lamb1-1	0.1439	0.03126641	-1.639733
Cyp1b1	0.0178	0.00006111	-1.636245
Rbp7	0.0748	0.00724743	-1.635936
Timp4	0.0251	0.00024392	-1.635411
Admr	0.0758	0.00742718	-1.632571
E430025L02Rik	0.0542	0.00261966	-1.631317
Eltd1	0.121	0.02199295	-1.630395
Glud1	0.0985	0.01388956	-1.6277
Chpt1	0.0381	0.00092665	-1.627268
Adcyap1r1	0.1709	0.04367717	-1.626327
Fmod	0.1253	0.02379579	-1.623311
Cd79b	0.0698	0.00608258	-1.619845
Coro1b	0.0882	0.01065662	-1.619245
Cx3cr1	0.0207	0.0001205	-1.618662
Ap3b1	0.1679	0.04207077	-1.617796
Pnpo	0.1748	0.04581397	-1.614554
Rab1b	0.0625	0.00430946	-1.605581
Igf2bp2	0.0178	0.00006417	-1.601197
Cxcl16	0.0207	0.00012627	-1.594771
Prg	0.1464	0.03229789	-1.594568
MGC29978	0.131	0.02633967	-1.593633
Car13	0.0978	0.01355557	-1.588699
Asns	0.1003	0.01455602	-1.588262
Vegfa	0.0617	0.00406099	-1.586879
Kcnq3	0.0822	0.00917756	-1.58639
Crym	0.1396	0.02974977	-1.585831
4930538D17Rik	0.046	0.00160762	-1.582319
Lyl1	0.0424	0.00125548	-1.580269
Pde2a	0.0805	0.00862733	-1.576944
Aacs	0.0835	0.00945144	-1.575262
Asns	0.0612	0.00392059	-1.57433
Klhl6	0.0166	0.00002772	-1.573258
Ndc80	0.1205	0.02182828	-1.572639
AY078069	0.0178	0.00006037	-1.571671
Mgst1	0.0385	0.00098794	-1.571419
1200006F02Rik	0.0852	0.00988872	-1.570666
Farp1	0.021	0.00014153	-1.568749
Ap1g1	0.119	0.02121494	-1.562996
Sdcbp2	0.1604	0.03884739	-1.562078
Lgmn	0.0625	0.00431904	-1.561869
Acad8	0.1245	0.02342376	-1.560028
Uap1l1	0.0287	0.00039931	-1.559441
Bcat2	0.0425	0.00129893	-1.558699
Ahsg	0.1404	0.03002987	-1.557624
Dusp2	0.0295	0.00043907	-1.55623
H2-DMa	0.0791	0.00824302	-1.554102
BC018222	0.0969	0.0132848	-1.551261
H2-Ab1	0.0525	0.00243578	-1.54811
Idh1	0.0381	0.00091352	-1.547171
Mpdu1	0.0665	0.00524572	-1.544733
Fkbp1b	0.1067	0.0166675	-1.543955
Sncg	0.0425	0.00129486	-1.543718
Nrap	0.0924	0.01192507	-1.543425
Clec4a3	0.0929	0.01205236	-1.542801
Slc39a4	0.0863	0.01016403	-1.538031
Ptpn18	0.0309	0.00048626	-1.537737
Vnn3	0.1391	0.02941055	-1.537379
Pltp	0.0251	0.00022746	-1.535532
Ctsk	0.0314	0.00050682	-1.535029
Csf1r	0.0247	0.0002081	-1.532418
Xab1	0.0799	0.00841005	-1.531726
Fcna	0.0766	0.00765433	-1.531638
Kcnab2	0.0776	0.00787401	-1.531104
Pscdbp	0.0252	0.00026308	-1.530772
Fst	0.0492	0.00202645	-1.524308
2700049P18Rik	0.0264	0.00031698	-1.520541
Loxl2	0.0486	0.00190235	-1.520214
Aifm2	0.0621	0.00423972	-1.51912
Tnc	0.0269	0.00032949	-1.515995
Slc16a6	0.1294	0.02548015	-1.515967
A630005A06Rik	0.0207	0.0001238	-1.515613
Dcamkl1	0.0642	0.00456116	-1.513651
Dnase2a	0.0425	0.00127389	-1.511985
Wdt3-pending	0.1156	0.01993884	-1.511982
Lipe	0.0474	0.00173852	-1.511364
Chpt1	0.0486	0.00192995	-1.510584
Apbb1ip	0.107	0.01673183	-1.510268
Gvin1	0.0896	0.01107463	-1.509368
Tmem176a	0.0317	0.00051755	-1.507146
Pte2a	0.1028	0.01532142	-1.503972
Foxr1	0.0288	0.00041364	-1.502992
Tmem8	0.1785	0.04767245	-1.500966
D930049A15Rik	0.163	0.03997483	-1.500794
Flt4	0.1212	0.02209592	-1.500524
Gpihbp1	0.0896	0.01105862	-1.500515
Cyb5r3	0.0922	0.01186044	-1.498115
Prkar1b	0.0583	0.00339847	-1.495112
Fbln2	0.0263	0.00031089	-1.492278
Arhgap30	0.0339	0.00063601	-1.48946
Ephx2	0.0677	0.00560845	-1.486053
Foxred1	0.1133	0.01928792	-1.486008
H2-Eb1	0.0476	0.00175731	-1.485501
Igfals	0.1447	0.03155233	-1.484639
Impa2	0.1392	0.02946522	-1.483379
Suclg1	0.0668	0.00542879	-1.483197
Acadl	0.0424	0.00125105	-1.47765
BC026585	0.0323	0.00053345	-1.47704
Stk36	0.0253	0.00027663	-1.474276
Mrps5	0.0785	0.0080533	-1.47102
Pkp2	0.0697	0.00605384	-1.470347
BC022145	0.0745	0.00715531	-1.469386
Ppp1r1a	0.0905	0.01129468	-1.468845
Acadm	0.0612	0.00392397	-1.467735
Gcnt1	0.0373	0.00086404	-1.46339
Slc6a7	0.0363	0.00080518	-1.463331
Cldn5	0.0255	0.00029581	-1.460698
Igf1	0.0253	0.00028245	-1.458485
Cdkn2c	0.1545	0.03593748	-1.457845
H2-Ab1	0.0731	0.0067745	-1.457445
Il3ra	0.0251	0.00024717	-1.457048
Dusp4	0.0264	0.000318	-1.454366
Ii	0.0668	0.00538771	-1.4532
Stxbp2	0.1085	0.01725624	-1.452727
Sema6b	0.0719	0.00652026	-1.449336
Abcd4	0.1335	0.02720077	-1.449256
AW491445	0.0251	0.00024695	-1.44869
Apex1	0.0946	0.01249832	-1.447771
Lhfpl2	0.0253	0.00027707	-1.447441
Agpat2	0.0435	0.00136938	-1.445536
Notch4	0.1687	0.04263061	-1.442973
Ankrd17	0.0766	0.00767147	-1.441643
Hist2h2ab	0.1028	0.0153045	-1.440719
1110014D18Rik	0.1075	0.0169505	-1.438839
Etfa	0.0686	0.00579837	-1.436104
Rhbdd2	0.107	0.01678742	-1.434392
Cd86	0.039	0.00103788	-1.432715
3110001A13Rik	0.0352	0.00069323	-1.432264
Cdkn2c	0.057	0.00308686	-1.428445
Rem1	0.0636	0.0044639	-1.427464
Gsto2	0.0969	0.01329093	-1.426687
Ahsg	0.1593	0.03830268	-1.42489
Litaf	0.0295	0.00043319	-1.424625
Ndufb4	0.1362	0.0282567	-1.424037
Cd19	0.0477	0.00180996	-1.42181
Nr1h3	0.0515	0.00228742	-1.417491
Gpsn2	0.0746	0.00720147	-1.417139
Rfwd3	0.1302	0.02592068	-1.416495
1200013B22Rik	0.0642	0.00456936	-1.415189
Psat1	0.0178	0.00006511	-1.414515
Selpl	0.0685	0.00577392	-1.414252
Man2a1	0.0288	0.0004155	-1.414103
Ppm1f	0.0805	0.00864504	-1.413868
Ghr	0.0522	0.00237906	-1.412584
Tnfaip8l2	0.0457	0.00155622	-1.41124
Gpx3	0.0659	0.00502536	-1.409923
Bin3	0.111	0.01810832	-1.409771
Scn7a	0.0985	0.013857	-1.408218
Panx1	0.0656	0.0049566	-1.407495
Incenp	0.0314	0.00050825	-1.406645
Gstz1	0.0729	0.00673925	-1.40664
Dab2	0.0865	0.01020321	-1.406
Acsl1	0.0492	0.00202469	-1.403578
B4galt5	0.1479	0.03310458	-1.403094
Coro1a	0.0878	0.01054514	-1.401631
Egfl7	0.0959	0.01303188	-1.400164
Ddhd1	0.0946	0.01249063	-1.399774
Ddx46	0.1291	0.02533066	-1.398327
C1s	0.0796	0.00834689	-1.39816
C730015A04Rik	0.1507	0.03442077	-1.397359
LOC434960	0.0642	0.00457849	-1.396649
Rapsn	0.08	0.00843018	-1.394227
Rassf5	0.0277	0.00037799	-1.392422
Sox18	0.1482	0.03329445	-1.389187
Mgl2	0.1604	0.0388364	-1.388813
Dok3	0.052	0.00235371	-1.386046
6720463E02Rik	0.0707	0.00625026	-1.381857
Arid3a	0.1264	0.02417536	-1.377619
Lrpprc	0.1076	0.01696709	-1.375648
